Date,year,NS5_A:FRAM18_bin151,NS5_D:20100330_Bin_64_1,NS5_D:20120607_Bin_121_1,NS5_D:FRAM18_bin161,NS5_F:FRAM18_bin181,NS5_F:Isolate_AHE01FL
2010.01.05,2010,0,0.470588235,0,0.001657001,0,0
2010.01.08,2010,0,0.248657554,0,0.006102026,0,0
2010.01.15,2010,0,0.236419542,0,0.001366587,0,0
2010.03.30,2010,0,2.27328692,0,0.07387343,0.001119294,0
2010.04.08,2010,0,1.73469122,0,0.200557393,0.002604641,0
2010.04.13,2010,0,2.467032806,0.001468472,0.242297865,0.014684719,0
2010.04.20,2010,0,1.437279591,0,0.127246507,0.013330586,0
2010.04.23,2010,0,1.433301688,0.001157756,0.208396045,0.043994721,0
2010.04.30,2010,0,0.399504064,0,0.038572806,0.011020802,0
2010.05.04,2010,0,0.274351533,0,0.015871576,0,0
2010.05.11,2010,0,0.889329052,0,0.007002591,0,0
2010.07.01,2010,0.00203637,3.002626917,0,0.012218217,0.004072739,0
2010.07.05,2010,0.007758554,3.70341635,0,0.031034215,0.002586185,0
2010.07.12,2010,0.016448721,0.59215396,0,0.049346163,0.014392631,0.00205609
2010.07.19,2010,0.037178304,0.882640486,0.001376974,0.641669994,0.02616251,0.00963882
2010.07.26,2010,0.019917518,1.731652451,0,0.545974318,0.011716187,0.007029712
2010.08.02,2010,0.027940394,0.653273018,0,0.526875998,0.001330495,0.003991485
2010.08.09,2010,0.043856978,1.101297436,0,0.46902601,0,0.001218249
2010.08.19,2010,0.063950068,0.572992607,0,0.657406697,0,0.005116005
2010.08.26,2010,0.062935805,0.649337676,0,0.330662724,0,0.000998981
2010.09.02,2010,0.02908555,0.651516327,0,0.157061972,0,0
2010.09.09,2010,0.04506196,0.963199399,0,0.428088622,0,0
2010.09.16,2010,0.126350645,0.762460788,0,0.376147322,0,0
2010.09.23,2010,0.057936794,0.84063009,0,0.217536265,0,0
2010.10.14,2010,0.057340792,0.052659911,0,0.232873827,0,0
2010.10.21,2010,0.035869212,0.224182574,0,0.212973446,0,0
2010.11.08,2010,0.015052394,0.162102704,0,0.072946217,0,0
2010.11.15,2010,0,0.142324247,0,0.047058824,0,0
2010.11.22,2010,0.003701305,0.055519571,0,0.059220875,0,0
2010.12.06,2010,0.013502201,0.330803921,0,0.067511004,0,0
2011.01.03,2011,0.029427501,0.757089353,0,0.034777956,0,0
2011.01.03,2011,0.038450553,0.373519654,0,0.029661855,0,0
2011.01.24,2011,0.013178703,0.719557196,0,0.019768055,0,0
2011.01.31,2011,0.008801931,1.63715924,0,0.028920632,0,0
2011.02.17,2011,0.00108885,1.546167247,0,0.015243902,0,0
2011.02.24,2011,0.005428047,1.215882465,0,0.029854257,0.000904674,0.000904674
2011.03.03,2011,0.006023734,1.01198723,0,0.022589001,0,0
2011.03.07,2011,0.017314732,1.146482636,0,0.030919165,0,0
2011.03.14,2011,0.027075981,1.096110395,0,0.06628947,0.001867309,0
2011.03.21,2011,0.088549618,1.450381679,0,0.234096692,0.007124682,0
2011.03.28,2011,0.067167437,2.256825891,0,0.423154855,0.006716744,0
2011.03.31,2011,0.085157817,2.839509564,0.000915675,0.432198811,0.010988105,0
2011.04.04,2011,0.088530787,3.682482841,0.001989456,1.226499552,0.030836566,0
2011.04.07,2011,0.123204064,5.35748133,0,2.356988514,0.049281626,0
2011.04.14,2011,0.073673508,6.231305347,0.00294694,1.993605139,0.08840821,0
2011.04.21,2011,0.016287971,4.419857364,0.008143986,1.144811699,0.097727828,0.00349028
2011.04.26,2011,0.014116932,3.743158718,0.031491617,1.78633481,0.458257319,0.003257753
2011.04.28,2011,0.0110674,2.866456721,0.045275729,1.775814712,0.892434929,0.022134801
2011.05.06,2011,0.002119048,1.40598843,0.006357144,0.322095315,0.322095315,0
2011.05.09,2011,0.00111142,0.546818561,0.006668519,0.255626563,0.181161434,0
2011.05.12,2011,0,0.485995458,0,0.227100681,0.086298259,0
2011.05.16,2011,0,0.426820571,0.001097225,0.168972668,0.043889005,0
2011.05.23,2011,0,1.907948562,0.003146699,0.797163775,0.054542785,0.0010489
2011.05.26,2011,0.003647904,4.716740233,0.002431936,0.564209195,0.029183234,0.001215968
2011.05.30,2011,0.000968092,4.708798017,0.001936183,0.560525093,0.023234201,0.000968092
2011.06.03,2011,0.002269298,5.110458058,0.002269298,0.506053351,0.01815438,0
2011.06.06,2011,0.001113896,3.20802005,0,0.377610693,0.014480646,0
2011.06.09,2011,0,2.828290426,0.002820768,0.603644433,0.017864866,0
2011.06.14,2011,0,1.420008426,0.000957524,2.181240185,0.050748784,0.001915048
2011.06.16,2011,0,1.225537186,0.001474774,3.092601059,0.050142316,0.001474774
2011.06.20,2011,0.001110531,1.020578143,0.002221062,2.336557575,0.029984342,0
2011.06.23,2011,0.001142505,1.29445771,0.001142505,2.728300981,0.054840221,0
2011.06.27,2011,0,1.158180124,0.001694484,3.247479454,0.017792087,0
2011.06.30,2011,0,0.282931549,0,2.069923009,0.010517901,0
2011.07.04,2011,0,0.287288001,0,2.215089555,0.004953241,0
2011.07.07,2011,0,0.127198941,0,0.94317582,0.006057092,0
2011.07.11,2011,0,0.145177012,0,0.919800071,0.002073957,0
2011.07.13,2011,0,0.226446485,0,1.350976647,0,0
2011.07.18,2011,0.001097285,0.150328088,0,1.165317006,0.003291856,0
2011.07.21,2011,0,0.168782432,0,1.260481569,0,0
2011.07.28,2011,0,0.477686645,0,1.596551157,0,0
2011.08.04,2011,0,0.406829105,0,1.056174049,0,0
2011.08.08,2011,0,0.601223824,0,1.607717042,0,0
2011.08.15,2011,0,0.305219158,0,0.462751627,0,0
2011.08.22,2011,0,0.327187891,0,0.543416411,0,0
2011.08.29,2011,0,0.311063439,0,0.730922464,0,0
2011.09.05,2011,0,0.121390568,0,0.337052534,0,0
2011.09.19,2011,0,0.088979417,0,0.121140652,0,0
2011.09.22,2011,0,0.087809759,0,0.204208742,0,0
2011.09.26,2011,0,0.07540777,0,0.202464698,0,0
2011.09.29,2011,0,0.060776785,0,0.191977464,0,0
2011.10.06,2011,0,0.034465303,0,0.200329574,0,0
2011.10.11,2011,0,0.154484257,0,0.131077551,0,0
2011.10.14,2011,0,0.160198556,0,0.102662455,0,0
2011.10.17,2011,0,0.073157349,0,0.093885265,0,0
2011.10.24,2011,0,0.080421408,0,0.053279183,0,0
2011.10.27,2011,0.000968973,0.016472549,0,0.059107382,0,0
2011.10.31,2011,0.000959684,0.028790511,0,0.086371532,0,0
2011.11.03,2011,0.002301152,0.034517276,0,0.071335704,0,0
2011.11.07,2011,0.000854562,0.025636862,0,0.082892522,0,0
2011.11.10,2011,0.002424125,0.047270435,0,0.05939106,0,0
2011.11.14,2011,0.007499125,0.039995334,0,0.054993584,0,0
2011.11.17,2011,0.022024907,0.027688455,0,0.040274116,0,0
2011.11.21,2011,0.024511606,0.021243392,0,0.01143875,0,0
2011.11.24,2011,0.026907841,0.01943344,0,0.01345392,0,0
2011.12.05,2011,0.016103615,0.173688993,0,0.020704648,0,0
2011.12.08,2011,0.008845018,0.159210317,0,0.014152028,0,0
2011.12.12,2011,0.008785899,0.343748284,0,0.023062984,0,0
2012.01.02,2012,0.008336112,0.745040013,0,0.028134378,0,0
2012.01.12,2012,0.000766195,0.966938666,0,0.00842815,0,0
2012.01.19,2012,0,1.115127867,0,0.009563704,0,0
2012.01.26,2012,0.00091776,1.466579785,0,0.012848634,0,0
2012.02.02,2012,0.02222029,0.505270073,0,0.02318639,0.003864398,0.0009661
2012.02.07,2012,0.059797946,0.419634708,0,0.03566895,0.001049087,0.001049087
2012.03.01,2012,0.018083034,0.694552897,0,0.030412375,0.004931737,0
2012.03.08,2012,0.037907164,1.055082719,0,0.050542885,0.001805103,0.000902552
2012.03.15,2012,0.068795505,1.262397523,0,0.063062547,0.002293184,0
2012.03.22,2012,0.100682776,1.68760335,0,0.060676375,0.003333867,0
2012.03.29,2012,0.213141931,1.842675751,0,0.08653198,0.010019492,0
2012.04.05,2012,0.142434983,3.223614738,0,0.093319472,0.008185919,0
2012.04.12,2012,0.095863,3.953650705,0.002792126,0.263390572,0.033505514,0
2012.04.16,2012,0.051740607,5.716673742,0.003980047,0.376777754,0.053067289,0
2012.04.26,2012,0.0368476,2.101190528,0.022810419,0.599212163,0.284252915,0
2012.05.03,2012,0.052452581,1.56765537,0.014382159,0.704725808,0.55329013,0.003384037
2012.05.10,2012,0.047301334,1.225685454,0.028214831,0.947686384,0.565956317,0.006638784
2012.05.24,2012,0.003542406,0.602917526,0.036841024,0.866472543,0.953615734,0.045342799
2012.05.31,2012,0,0.26325468,0.013549873,1.475968332,0.235187085,0.02516405
2012.06.07,2012,0,0.295264149,0,1.28490278,0.021699203,0.003099886
2012.06.14,2012,0,0.129366106,0.000718701,1.272100043,0.007187006,0.000718701
2012.06.20,2012,0,0.116760429,0,2.003797662,0.001179398,0.001179398
2012.06.28,2012,0,0.199474422,0,2.209877048,0.0006808,0
2012.07.05,2012,0,0.109629889,0,1.463559025,0.001096299,0
2012.07.12,2012,0,0.124604463,0,2.796222517,0,0
2012.07.19,2012,0,0.160436387,0,2.469261847,0,0
2012.07.26,2012,0,0.489105812,0,0.612669385,0,0
2012.08.02,2012,0,0.36516953,0,0.898810994,0,0
2012.08.09,2012,0,0.305440737,0,0.62680213,0,0
2012.08.16,2012,0,0.272404698,0,0.987565157,0,0
2012.08.23,2012,0,0.240653755,0,0.544366514,0,0
2012.08.30,2012,0,0.335815099,0,0.836550068,0,0
2012.09.06,2012,0,0.380914489,0,0.590896365,0,0
2012.09.20,2012,0,0.363278663,0,0.309712104,0,0
2012.09.27,2012,0,0.206809356,0,0.149011108,0,0
2012.10.04,2012,0.000950462,0.084591111,0,0.081739726,0,0
2012.10.11,2012,0,0.304245235,0,0.055440243,0,0
2012.10.18,2012,0,0.02353045,0,0.013235878,0,0
2012.11.01,2012,0,0.094526367,0,0.018905273,0,0
2012.11.22,2012,0,0.116470087,0,0.013906876,0,0
2012.11.29,2012,0,0.224779327,0,0.047549473,0,0
2012.12.06,2012,0,0.28393344,0,0.033936268,0,0
2012.12.13,2012,0,0.298882536,0,0.036430956,0,0
2012.12.20,2012,0.0024794,0.383480582,0,0.027273403,0,0
