mag,Genus,Isolation_source
NS5_A_sp1,NS5_A,unknown
NS5_A_sp2,NS5_A,Mediterannean
NS5_A_sp3,NS5_A,North Pacific
NS5_A_sp4,NS5_A,Mediterannean
NS5_A_sp5,NS5_A,Mediterannean
NS5_A_sp6,NS5_A,South Pacific
NS5_B_sp1,NS5_B,Fram Strait
NS5_B_sp2,NS5_B,Mediterannean
NS5_B_sp3,NS5_B,North Atlantic
NS5_B_sp4,NS5_B,South Atlantic
NS5_B_sp5,NS5_B,South Pacific
NS5_B_sp6,NS5_B,South Pacific
NS5_B_sp7,NS5_B,South Pacific
NS5_D_sp1,NS5_D,Helgoland
NS5_D_sp2,NS5_D,Helgoland
NS5_D_sp3,NS5_D,Helgoland
NS5_D_sp4,NS5_D,Helgoland
NS5_D_sp5,NS5_D,Helgoland
NS5_D_sp6,NS5_D,Helgoland
NS5_D_sp7,NS5_D,Fram Strait
NS5_D_sp8,NS5_D,Fram Strait
NS5_D_sp9,NS5_D,Mediterannean
NS5_D_sp10,NS5_D,Mediterannean
NS5_D_sp11,NS5_D,unknown
NS5_D_sp12,NS5_D,unknown
NS5_D_sp13,NS5_D,unknown
NS5_D_sp14,NS5_D,Mediterannean
NS5_D_sp15,NS5_D,South Atlantic
NS5_D_sp16,NS5_D,Red Sea
NS5_F_sp1,NS5_F,Helgoland
NS5_F_sp2,NS5_F,Helgoland
NS5_F_sp3,NS5_F,Fram Strait
NS5_F_sp4,NS5_F,South Atlantic
NS5_F_sp5,NS5_F,Delaware Estuary
